epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.7651315753936767,36.94,1.6314280207749385,42.27,0.001
2,1.6158137767791747,43.135,1.576105977319608,43.78,0.001
3,1.551960735321045,45.0175,1.499370124689333,47.21,0.001
4,1.4997030782699585,47.1625,1.5115461433009736,46.71,0.001
5,1.4579026828765869,48.2825,1.462506993561034,47.92,0.001
6,1.427311247253418,49.4475,1.460698961452314,48.81,0.001
7,1.4027752073287965,50.3875,1.4417164287749369,48.61,0.001
8,1.3627261635780334,51.665,1.4452084887559247,49.22,0.001
9,1.333400925540924,52.6,1.4200855182234648,49.71,0.001
10,1.3176015603065492,52.865,1.4158354602801573,49.75,0.001
11,1.286487620449066,53.9475,1.4250003304451135,49.94,0.001
12,1.2582020092964172,55.2025,1.4089354618339782,50.71,0.001
13,1.239345809173584,55.8625,1.4055520873160878,51.21,0.001
14,1.2178689292907714,56.4025,1.4175983333283928,51.18,0.001
15,1.2051718843460082,56.9625,1.4144804003132376,50.93,0.001
16,1.1882342511177062,57.51,1.4189219360898255,50.54,0.001
17,1.1690805045127868,58.41,1.4013736749150951,52.31,0.001
18,1.1542824384689332,58.8075,1.4159462770838647,51.14,0.001
19,1.1379247505187988,59.2525,1.4166334639688967,51.82,0.001
20,1.1151406275749207,60.2775,1.4247288142040277,51.59,0.001
21,1.105483371925354,60.3975,1.4291889029703322,51.15,0.001
22,1.092799344444275,61.085,1.4266358348214703,51.7,0.001
23,1.082884291267395,61.2625,1.4119953881403444,52.14,0.001
24,1.065629269504547,61.6275,1.4395895049830152,51.74,0.001
25,1.053848308467865,62.3825,1.4296347214158174,51.62,0.001
